G 7-34,4,17,18.53365,8,49,22.0151,47.571166,M5V
UCAC4 638-030976,5,59,3.93148,37,27,25.98925,47.567905,
* 111 Tau,5,24,25.46327,17,23,0.72642,47.550984,F8V
G 217-32,0,7,42.78854,60,22,54.23016,47.544606,M4.0V
ULAS J102940.52+093514.6,10,29,40.38005,9,35,14.0406,47.544606,T8
LP 804-27,16,12,41.77941,-18,52,31.81174,47.537677,M3V
SIPS J0527-5129,5,27,30.56762,-51,29,15.8102,47.504857,dM5.5
WISE J053516.80-750024.9,5,35,17.10668,-75,0,24.5878,47.475400,Y1:+
PM J08446-4805,8,44,38.87902,-48,5,20.98373,47.474778,
HD 221503,23,32,49.39824,-16,50,44.32093,47.450812,K6V
WISEP J131106.24+012252.4,13,11,6.3024,1,22,51.9337,47.406395,T9:
BD+30 2512,14,21,57.2163,29,37,46.61677,47.371555,K6V
* iot UMa,8,59,12.45362,48,2,30.57412,47.323854,A6
GAT 1383,21,24,32.31702,40,3,59.69399,47.323304,M5.5V
HD 216133,22,50,19.42431,-7,5,24.37888,47.316782,M0.5V
LP 119-26,5,16,53.47488,56,40,19.21226,47.314586,M6.5
LP 624-54,16,14,25.1987,-2,51,0.75085,47.303743,M5.0V
LP 731-76,10,58,27.98871,-10,46,30.49779,47.294895,M5.0V
CD-36 2458,5,47,40.57888,-36,19,42.83628,47.288929,M1.5V
BD-08 2582,9,6,45.34967,-8,48,24.61451,47.285296,K7V
PG 1633+434,16,35,1.42918,43,17,36.34718,47.275015,DAZ7.6
PM J10382-4933,10,38,15.18555,-49,33,44.52404,47.263848,
HD 120036,13,47,42.16365,-32,25,48.14038,47.262136,K6+K7V
Wolf 906,21,1,58.64116,-6,19,7.47227,47.253988,M2.5V
LSPM J1431+7526,14,31,13.42878,75,26,42.23542,47.244952,M4.0V
* tet Boo,14,25,11.79695,51,51,2.67722,47.222037,F7V
CWISEP J124138.41-820051.9,12,41,36.26992,-82,0,50.9122,47.200579,
L 68-30,12,42,19.63458,-71,38,20.11277,47.200442,M3.5V
RX J1935.4+3746,19,35,29.20279,37,46,8.13743,47.183713,M3.0V
HD 97584,11,15,11.9032,73,28,30.73776,47.175728,K4V
2MASS J05131727+0608190,5,13,17.27592,6,8,19.0248,47.152812,T6.5
VB 16,6,49,5.45632,37,6,50.48799,47.130735,M4V
G 265-8,1,19,52.17391,84,9,32.79682,47.123926,M5V
2MASSI J2325453+425148,23,25,45.30343,42,51,48.3603,47.113307,L8
HD 184489,19,34,39.83988,4,34,57.04954,47.093851,M0V
* pi.01 UMa,8,39,11.70461,65,1,15.26312,47.093171,G0.5V
Wolf 1373,20,57,25.35584,22,21,45.81134,47.065988,M3V
CWISE J193518.61-154620.7,19,35,18.29212,-15,46,21.2617,47.064358,Y
CD-38 1058,3,12,29.7724,-38,5,20.17596,47.005008,M1.5V
WISE J054047.00+483232.4,5,40,46.75303,48,32,38.5454,46.996542,T8.5
VVV J141159.32-592045.7,14,11,59.17407,-59,20,44.99652,46.968523,DA
G 252-25,8,59,56.20236,72,57,36.27322,46.958312,M5V
G 32-35,0,35,55.52063,10,28,35.51368,46.949863,M5V
Ross 370,3,16,13.81418,58,10,2.57958,46.922169,M0V
HD 23453,3,46,20.14013,26,12,55.82029,46.919267,M1V
CPD-58 7400,18,30,12.00614,-58,16,27.47674,46.887700,M1V
Ross 93,9,43,55.61326,26,58,8.40869,46.869373,M3.5V
* eta Cep,20,45,17.37517,61,50,19.61423,46.863110,K0IV
LP 229-30,18,43,22.12599,40,40,21.34385,46.838075,M7.5Ve
2MASS J14482563+1031590,14,48,25.63873,10,31,59.06596,46.837806,L5.5
